mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5.72213077545166,0.15735282975496673,0.41260067621866864,0.02979584363473598,0.8,0.05,5,10,1000,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 1000, 'subsample': 0.8}",-0.1689142882823944,-0.1717269867658615,-0.16841982305049896,-0.16968703269958496,0.0014565217496435422,1
6.243550062179565,0.5280086483579752,0.40075111389160156,0.00829741363261737,0.7,0.05,5,10,1000,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 1000, 'subsample': 0.8}",-0.16895967721939087,-0.17170409858226776,-0.16870729625225067,-0.1697903573513031,0.0013571362403886247,2
5.656355857849121,0.3723735971103778,0.3597686290740967,0.019024881004576926,0.8,0.05,5,10,1000,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 1000, 'subsample': 0.7}",-0.16906343400478363,-0.17219941318035126,-0.169188991189003,-0.1701506127913793,0.001449627176671305,3
7.14565110206604,0.5085871722431258,0.45694462458292645,0.044869359373593966,0.7,0.05,5,10,1000,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 1000, 'subsample': 0.7}",-0.16964752972126007,-0.1723906397819519,-0.16891951858997345,-0.17031922936439514,0.0014945581042103645,4
6.163076639175415,0.28188554983585556,0.42118072509765625,0.019796751082030713,0.7,0.05,5,20,1000,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 1000, 'subsample': 0.8}",-0.1697569340467453,-0.17256872355937958,-0.1692403107881546,-0.17052198946475983,0.0014625469196777737,5
6.1899590492248535,0.14617399648489227,0.412567933400472,0.018267614572325692,0.8,0.05,5,20,1000,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 1000, 'subsample': 0.8}",-0.16969729959964752,-0.17265869677066803,-0.16957612335681915,-0.1706440399090449,0.0014254362193191633,6
7.352616469065349,0.36407325541961916,0.4611448446909587,0.027111636024117404,0.8,0.05,5,20,1000,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 1000, 'subsample': 0.7}",-0.17012827098369598,-0.17345544695854187,-0.1701183319091797,-0.1712340166171392,0.0015707936990746456,7
6.817175626754761,0.45090425668903894,0.45915770530700684,0.05809317095045583,0.7,0.05,5,20,1000,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 20, 'n_estimators': 1000, 'subsample': 0.7}",-0.17063842713832855,-0.1733344942331314,-0.17025253176689148,-0.17140848437945047,0.0013709763617658676,8
5.948437452316284,0.02715698077297141,0.4147019386291504,0.05481082604279474,0.8,0.05,5,30,1000,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 1000, 'subsample': 0.8}",-0.17049190402030945,-0.17357192933559418,-0.1703185886144638,-0.1714608073234558,0.0014944646020291503,9
6.485178391138713,0.1772964205672408,0.4279378255208333,0.034258214942804024,0.7,0.05,5,30,1000,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 1000, 'subsample': 0.8}",-0.17055648565292358,-0.1737167090177536,-0.17056240141391754,-0.17161186536153158,0.0014883511821051313,10
5.763998190561931,0.3876966929311401,0.39352210362752277,0.041489218280148246,0.8,0.05,5,30,1000,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 1000, 'subsample': 0.7}",-0.17103812098503113,-0.1738414317369461,-0.17101667821407318,-0.17196541031201681,0.0013265763549332324,11
6.946405331293742,0.36392927809726666,0.5453166166941324,0.10610607742834073,0.7,0.05,5,30,1000,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 30, 'n_estimators': 1000, 'subsample': 0.7}",-0.1711326539516449,-0.1740408092737198,-0.17112620174884796,-0.17209988832473755,0.001372440892565461,12
3.8632821242014566,0.22984331126393245,0.28822628657023114,0.05935585011864359,0.8,0.05,5,10,700,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 700, 'subsample': 0.8}",-0.1720733493566513,-0.17463618516921997,-0.17173148691654205,-0.17281367381413779,0.0012962454015455597,13
4.678628126780192,0.1901270306614759,0.3026367823282878,0.0013276905722978511,0.7,0.05,5,10,700,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 700, 'subsample': 0.8}",-0.1720246970653534,-0.1747598648071289,-0.17171277105808258,-0.1728324443101883,0.0013688284011087917,14
3.92679754892985,0.14218791732268968,0.2666763464609782,0.03550433006683532,0.8,0.05,5,10,700,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 700, 'subsample': 0.7}",-0.17207659780979156,-0.1750158667564392,-0.17221085727214813,-0.17310110727945963,0.0013550484104071425,15
